epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3476.75,0.90367,0.70987,1.05853,0.8781,0.7949,0.88319,0.60552,1.08731,0.70427,1.0811,0.000821206,0.000821206,0.000821206
43,3555.4,0.9103,0.71239,1.06645,0.86913,0.82036,0.89059,0.5989,1.07855,0.69162,1.07666,0.000800577,0.000800577,0.000800577
44,3633.49,0.89828,0.70543,1.06429,0.87658,0.8078,0.88869,0.60432,1.06613,0.69514,1.06951,0.000779948,0.000779948,0.000779948
45,3711.26,0.89763,0.70698,1.05704,0.89208,0.82609,0.89524,0.60641,1.06238,0.66652,1.06914,0.000759318,0.000759318,0.000759318
46,3789.11,0.89481,0.69818,1.05867,0.87602,0.81178,0.88337,0.60943,1.07676,0.68607,1.0847,0.000738689,0.000738689,0.000738689
47,3868.46,0.88621,0.68682,1.05317,0.90927,0.7843,0.89408,0.61307,1.06848,0.67196,1.07807,0.00071806,0.00071806,0.00071806
48,3946.73,0.89398,0.68321,1.05266,0.87523,0.80091,0.88777,0.61077,1.04362,0.6706,1.05954,0.000697431,0.000697431,0.000697431
49,4024.7,0.89689,0.68934,1.05512,0.90128,0.7962,0.88716,0.61001,1.05057,0.66789,1.07368,0.000676802,0.000676802,0.000676802
50,4102.63,0.87497,0.6756,1.0441,0.90315,0.83116,0.90666,0.62258,1.03958,0.65538,1.06025,0.000656173,0.000656173,0.000656173
51,4180.56,0.87507,0.67334,1.0452,0.89996,0.83006,0.90175,0.61748,1.04335,0.65046,1.06179,0.000635544,0.000635544,0.000635544
52,4258.3,0.86526,0.67084,1.03937,0.89846,0.81167,0.90177,0.61808,1.05266,0.64991,1.06087,0.000614915,0.000614915,0.000614915
53,4336.33,0.87021,0.64965,1.04084,0.89681,0.82418,0.90568,0.61257,1.06537,0.63693,1.08297,0.000594286,0.000594286,0.000594286
54,4414.72,0.85698,0.65393,1.03931,0.89569,0.82752,0.90331,0.61366,1.05024,0.62405,1.07862,0.000573656,0.000573656,0.000573656
55,4494,0.86586,0.65363,1.04293,0.9123,0.83237,0.90049,0.61475,1.06942,0.64709,1.07539,0.000553027,0.000553027,0.000553027
56,4572.15,0.86338,0.64594,1.03975,0.90268,0.84293,0.89908,0.62132,1.04595,0.63253,1.06444,0.000532398,0.000532398,0.000532398
57,4649.97,0.85105,0.63928,1.03364,0.91733,0.83495,0.90894,0.62792,1.04691,0.62034,1.06867,0.000511769,0.000511769,0.000511769
58,4727.7,0.84291,0.62751,1.035,0.89443,0.83564,0.90002,0.61411,1.05397,0.63032,1.07198,0.00049114,0.00049114,0.00049114
59,4805.69,0.8585,0.62647,1.03577,0.91378,0.81653,0.90013,0.618,1.04655,0.63708,1.06302,0.000470511,0.000470511,0.000470511
60,4883.84,0.83394,0.61904,1.0294,0.90344,0.83471,0.90402,0.61823,1.06378,0.62612,1.07616,0.000449882,0.000449882,0.000449882
61,4961.83,0.82463,0.60556,1.02029,0.91221,0.83169,0.90133,0.62157,1.04312,0.62081,1.06385,0.000429253,0.000429253,0.000429253
62,5041.36,0.83237,0.61181,1.02417,0.9114,0.8232,0.9045,0.62481,1.04523,0.62079,1.06541,0.000408623,0.000408623,0.000408623
63,5119.33,0.82331,0.60151,1.02091,0.89633,0.85195,0.90231,0.63255,1.04029,0.614,1.05406,0.000387994,0.000387994,0.000387994
64,5197.15,0.8134,0.58677,1.01764,0.92688,0.82554,0.90716,0.62513,1.04208,0.61274,1.059,0.000367365,0.000367365,0.000367365
65,5274.92,0.81972,0.60066,1.02259,0.92107,0.83685,0.90926,0.62535,1.04958,0.62804,1.06073,0.000346736,0.000346736,0.000346736
66,5352.72,0.81705,0.58532,1.01972,0.90895,0.83956,0.90706,0.63079,1.02726,0.60754,1.04482,0.000326107,0.000326107,0.000326107
67,5430.3,0.81156,0.5873,1.01517,0.89857,0.83954,0.90039,0.63431,1.02014,0.60053,1.04554,0.000305478,0.000305478,0.000305478
68,5508.36,0.8094,0.58138,1.01493,0.9186,0.83772,0.90975,0.63107,1.02732,0.60249,1.0454,0.000284849,0.000284849,0.000284849
69,5586.85,0.81368,0.58662,1.01521,0.91571,0.82386,0.90793,0.63329,1.03245,0.60474,1.05668,0.00026422,0.00026422,0.00026422
70,5667.23,0.81208,0.57618,1.01264,0.89746,0.85291,0.91239,0.63344,1.02823,0.60334,1.05199,0.00024359,0.00024359,0.00024359
71,5744.48,0.75194,0.46212,0.95571,0.89287,0.82645,0.90189,0.62323,1.05211,0.61315,1.0704,0.000222961,0.000222961,0.000222961
72,5819.63,0.7331,0.43466,0.94689,0.91688,0.85142,0.91198,0.62739,1.04806,0.60291,1.06298,0.000202332,0.000202332,0.000202332
73,5895.39,0.72333,0.42497,0.94582,0.90472,0.84274,0.90751,0.63219,1.02675,0.58731,1.05376,0.000181703,0.000181703,0.000181703
74,5971.46,0.71804,0.41794,0.9406,0.91942,0.82302,0.90661,0.63214,1.0264,0.59728,1.05283,0.000161074,0.000161074,0.000161074
75,6047.84,0.71188,0.4109,0.93622,0.91047,0.84059,0.90432,0.62997,1.02964,0.5959,1.05487,0.000140445,0.000140445,0.000140445
76,6125.29,0.69961,0.40758,0.935,0.92015,0.849,0.90824,0.63139,1.03261,0.59399,1.05269,0.000119816,0.000119816,0.000119816
77,6204.42,0.70285,0.40132,0.93199,0.90726,0.85266,0.90621,0.62975,1.03062,0.59405,1.05412,9.91865e-05,9.91865e-05,9.91865e-05
78,6284.23,0.70084,0.40415,0.92889,0.9075,0.84779,0.90531,0.63105,1.03337,0.59152,1.05372,7.85574e-05,7.85574e-05,7.85574e-05
79,6362.17,0.70085,0.39786,0.93017,0.9261,0.84703,0.90771,0.63468,1.02817,0.58811,1.05548,5.79283e-05,5.79283e-05,5.79283e-05
80,6440.08,0.68865,0.38748,0.93001,0.92254,0.85144,0.90967,0.63491,1.0298,0.58709,1.05721,3.72991e-05,3.72991e-05,3.72991e-05
